id;name;user_id
1234836;APARTMENT 5PAX GRAN VIA CENTRO PUERTA SOL MALASAÑA;5542111
1242828;Stylish Apartments in Chueca by Allô Housing;4599639
1248292;Best Deal GOYA SUITE Historic SOL;6566447
1251023;esta habitacion ya no esta disponible;6816554
1251520;Room in excellent location - centre;6818751
1254418;Apartamento de diseño céntrico;6832983
1254955;Madrid Central flat - Reina Sofía;6730063
1255811;MADRID ATOCHA rail STATION Wifi A/C PARKING;6774354
1256157;Beautiful vintage flat in La Latina;2067969
1256570;Habitación con terraza en centro;6844474
1262589;LARGE FLAT IN MADRID CITY CENTER FOR FAMILIES;3524291
1263062;Central Double Room near Subway;4304796
1263329;New Garden Themed Room near Metro;4304796
1266548;ApartJ GranVia-PalacioReal, 2/4pax,fully equipped!;4839888
1267730;Best Deal Chic VELAZQUEZ SUITE SOL;6566447
1272747;Apart A Gran Via-Royal Palace, fully equipped!;4839888
1273055;Designer Duplex in Malasaña;6928584
1274889;Quiet flat in historical Chamberí (Ponzano area);2833018
1275293;Alquiler Piso Madrid;4003806
1281843;Lovely flat in the centre of Madrid;6871745
1289823;Disinfected - Octavio's modern loft! 2 bathrooms;142989
1296584;Flat with two bedrooms in the center of Madrid;7049661
1297217;Plaza de Santa Ana bright 4 pax, 1 BR, 40 m2;4190343
1298830;Well located Apartm. Madrid- wifi;7062138
1302691;APARTMENT 5PAX 2HB GRAN VIA CENTRO PUERTA DEL SOL;5542111
1302882;Cozy room in Malasaña center;2991925
1309325;Fantastic room + private bathroom, WiFi + Smart TV;7117225
1311739;Cozy 1BD Apartment ideal for couples, in Chamartin;3747785
1316794;in Downtown ,cava baja, Madrid,Wifi;7153063
1326972;Studio Chueca Madrid Center;7201628
1330726;"Aparment in the famous ""rastro""";7218465
1335588;PRIME LOCATION & COZY+Lift,CHUECA, MALASAÑA,wifi;7033920
1336818;Jardín Manaure Apartamento céntrico;7249376
1343630;Quiet room in historical Chamberí (Ponzano area);2833018
1346145;Quiet room in the heart of the city;7302534
1346747;Loft Duplex Historical center;7306349
1357593;SEXY AND CENTRAL, BALCONY Chueca;852616
1361648;Modern two bedroom in center Madrid;7392246
1362092;Cozy Attic in Prime Location;7394119
